    PID TTY          TIME CMD
  49752 pts/1    00:00:08 java
  49863 pts/1    00:00:01 java
  49916 pts/1    00:00:00 sh
  49917 pts/1    00:00:00 ps
.
..
.gitignore
pom.xml
README.md
src
target
    PID TTY          TIME CMD
    634 pts/0    00:00:00 bash
   2087 pts/0    00:00:08 java
   2145 pts/0    00:00:02 java
   2172 pts/0    00:00:00 sh
   2174 pts/0    00:00:00 ps
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13940 ?        Ss   14:58   0:01 /sbin/init splash
root         233  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         234  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_1]
root         235  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         236  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_2]
root         237  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         238  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_3]
root         239  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         240  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_4]
root         241  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         242  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_5]
root         243  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         244  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_6]
root         245  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         246  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_7]
root         247  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         256  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_8]
root         257  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         258  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_9]
root         259  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         262  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_10]
root         263  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         289  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/1:3-events]
root         290  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/8:4-mm_percpu_wq]
